ano;provincia;ayuntamiento;viguilante_municipales;policia_local_ejecutiva_agte;policia_local_ejecutiva_oficial;policia_local_tecnica_sub;policia_local_tecnica_ins;policia_local_superior_my;policia_local_superior_int;policia_local_superior_sp;total;hombres;mujeres;medio;prov_abreviada
2017;ÁVILA;Sotillo de la Adrada;;5;1;;;;;;6;6;0;Rural;AV
2017;BURGOS;Aranda de Duero;;34;2;;1;;;;37;31;6;Urbano;BU
2017;BURGOS;Briviesca;;10;2;;;;;;12;12;0;Rural;BU
2017;BURGOS;BURGOS;;209;26;9;3;1;1;;249;238;11;Urbano;BU
2017;BURGOS;Lerma;;2;;;;;;;2;2;0;Rural;BU
2017;BURGOS;Medina de Pomar;;4;2;;;;;;6;5;1;Rural;BU
2017;BURGOS;Melgar de Fernamental;1;;;;;;;;1;0;1;Rural;BU
2017;BURGOS;Miranda de Ebro;;49;10;3;2;1;;;65;59;6;Urbano;BU
2017;BURGOS;Roa;;1;;;;;;;1;1;0;Rural;BU
2017;BURGOS;Salas de los Infantes;1;;;;;;;;1;0;1;Rural;BU
2017;BURGOS;Valle de Mena;;7;;;;;;;7;5;2;Rural;BU
2017;LEÓN;Astorga;;17;2;2;;;;;21;19;2;Rural;LE
2017;LEÓN;Bembibre;;13;1;1;;;;;15;13;2;Rural;LE
2017;LEÓN;Cacabelos;;4;;;;;;;4;4;0;Rural;LE
2017;LEÓN;Cistierna;;1;;;;;;;1;1;0;Rural;LE
2017;LEÓN;Fabero;;2;;;;;;;2;2;0;Rural;LE
2017;LEÓN;La Bañeza;;15;2;1;;;;;18;13;5;Rural;LE
2017;LEÓN;La Pola de Gordón;;1;;;;;;;1;1;0;Rural;LE
2017;LEÓN;La Robla;;2;1;;;;;;3;3;0;Rural;LE
2017;LEÓN;LEÓN;;186;18;8;3;1;1;;217;202;15;Urbano;LE
2017;LEÓN;Mansilla de las Mulas;1;;;;;;;;1;1;0;Rural;LE
2017;LEÓN;Ponferrada;;59;11;4;;1;;;75;67;8;Urbano;LE
2017;LEÓN;Sahagún;1;;;;;;;;1;1;0;Rural;LE
2017;LEÓN;San Andrés del Rabanedo;;31;6;2;1;;;;40;38;2;Urbano;LE
2017;LEÓN;Santa María del Páramo;3;;;;;;;;3;3;0;Rural;LE
2017;LEÓN;Toral de los Vados;2;;;;;;;;2;2;0;Rural;LE
2017;LEÓN;Toreno;;1;;;;;;;1;1;0;Rural;LE
2017;LEÓN;Valencia de Don Juan;;4;;;;;;;4;4;0;Rural;LE
2017;LEÓN;Valverde de la Virgen;;8;;;;;;;8;6;2;Rural;LE
2017;LEÓN;Villablino;;8;;;;;;;8;7;1;Rural;LE
2017;LEÓN;Villafranca del Bierzo;;2;;;;;;;2;1;1;Rural;LE
2017;LEÓN;Villaquilambre;;13;3;;;;;;16;13;3;Rural;LE
2017;PALENCIA;Aguilar de Campoo;;8;1;1;;;;;10;10;0;Rural;PA
2017;PALENCIA;Barruelo de Santullán;1;;;;;;;;1;1;0;Rural;PA
2017;PALENCIA;Carrión de los Condes;3;;;;;;;;3;3;0;Rural;PA
2017;PALENCIA;Dueñas;;5;;;;;;;5;4;1;Rural;PA
2017;PALENCIA;Guardo;;6;1;1;;;;;8;8;0;Rural;PA
2017;PALENCIA;Herrera de Pisuerga;2;;;;;;;;2;2;0;Rural;PA
2017;PALENCIA;PALENCIA;;95;20;7;2;;;;124;118;6;Urbano;PA
2017;PALENCIA;Paredes de Nava;2;;;;;;;;2;2;0;Rural;PA
2017;PALENCIA;Saldaña;2;;;;;;;;2;2;0;Rural;PA
2017;PALENCIA;Venta de Baños;;4;1;;;;;;5;4;1;Rural;PA
2017;PALENCIA;Villamuriel de Cerrato;;3;1;;;;;;4;4;0;Rural;PA
2017;SALAMANCA;Alba de Tormes;;5;1;;;;;;6;5;1;Rural;SA
2017;SALAMANCA;Béjar;;22;3;1;;;;;26;26;0;Rural;SA
2017;SALAMANCA;Cantalejo;4;;;;;;;;4;4;0;Rural;SA
2017;SALAMANCA;Carbajosa de la Sagrada;;5;1;;;;;;6;5;1;Rural;SA
2017;SALAMANCA;Ciudad Rodrigo;;17;2;2;;;;;21;19;2;Rural;SA
2017;SALAMANCA;Cuéllar;;11;1;1;;;;;13;12;1;Rural;SA
2017;SALAMANCA;El Espinar;;12;2;1;;;;;15;13;2;Rural;SA
2017;SALAMANCA;Guijuelo;;11;;1;;;;;12;11;1;Rural;SA
2017;SALAMANCA;Peñaranda de Bracamonte;;8;2;1;;;;;11;11;0;Rural;SA
2017;SALAMANCA;SALAMANCA;;216;21;17;5;2;;;261;232;29;Urbano;SA
2017;SALAMANCA;Santa Marta de Tormes;;20;3;1;1;;;;25;22;3;Rural;SA
2017;SALAMANCA;SEGOVIA;;86;11;5;3;1;1;;107;100;7;Urbano;SA
2017;SALAMANCA;Terradillos;;5;;;;;;;5;5;0;Rural;SA
2017;SALAMANCA;Villamayor;4;;;;;;;;4;2;2;Rural;SA
2017;SALAMANCA;Vitigudino;1;;;;;;;;1;1;0;Rural;SA
2017;SORIA;Ágreda;2;;;;;;;;2;2;0;Rural;SO
2017;SORIA;Almazán;;10;1;;;;;;11;11;0;Rural;SO
2017;SORIA;El Burgo de Osma;;4;;;;;;;4;4;0;Rural;SO
2017;SORIA;Ólvega;1;;;;;;;;1;1;0;Rural;SO
2017;SORIA;SORIA;;46;8;3;1;;1;;59;56;3;Urbano;SO
2017;VALLADOLID;Arroyo de la Encomienda;;11;;1;;;;;12;11;1;Rural;VA
2017;VALLADOLID;Boecillo;;4;;;;;;;4;3;1;Rural;VA
2017;VALLADOLID;Cistérniga;6;;;;;;;;6;5;1;Rural;VA
2017;VALLADOLID;Cogeces del Monte;1;;;;;;;;1;1;0;Rural;VA
2017;VALLADOLID;Íscar;1;3;1;;;;;;5;5;0;Rural;VA
2017;VALLADOLID;Laguna de Duero;;20;4;1;;;;;25;23;2;Urbano;VA
2017;VALLADOLID;Medina de Rioseco;;1;1;;;;;;2;2;0;Rural;VA
2017;VALLADOLID;Medina del Campo;;20;6;1;2;;;;29;28;1;Urbano;VA
2017;VALLADOLID;Pedrajas de San Esteban;;2;;;;;;;2;2;0;Rural;VA
2017;VALLADOLID;Peñafiel;;6;;;;;;;6;6;0;Rural;VA
2017;VALLADOLID;Simancas;;7;;1;;;;;8;8;0;Rural;VA
2017;VALLADOLID;Tordesillas;;11;;1;;;;;12;12;0;Rural;VA
2017;VALLADOLID;Tudela de Duero;;7;;1;;;;;8;7;1;Rural;VA
2017;VALLADOLID;VALLADOLID;;401;26;14;6;2;2;;451;388;63;Urbano;VA
2017;ZAMORA;Benavente;;23;5;1;;;;;29;22;7;Rural;ZA
2017;ZAMORA;Corrales del Vino;;1;;;;;;;1;1;0;Rural;ZA
2017;ZAMORA;Puebla de Sanabria;1;;;;;;;;1;1;0;Rural;ZA
2017;ZAMORA;Toro;;12;5;1;;;;;18;17;1;Rural;ZA
2017;ZAMORA;ZAMORA;;88;12;4;1;;;;105;97;8;Urbano;ZA
