Año;Periodo;Deuda pública en miles de euros
2011;Año;19.182
2012;Año;23.840
2013;Año;21.294
2014;Año;19.361
2015;Año;16.959
2016;Año;14.356
2017;Año;12.338
2018;Año;12.520
2019;Año;13.094,35
2020;Año;13.322,24
