Año;Periodo;Nº de empresas
2012;Año;12.573
2013;Año;12.500
2014;Año;12.290
2015;Año;12.639
2016;Año;12.824
2017;Año;12.964
2018;Año;13.110
2019;Año;12.982
2020;Año;12.776
